날짜,종목코드,종목명,전략,구분,가격,수량,금액,수수료,사유,손익,손익률,보유일
2026-07-01,105560,KB금융,rsi2,SELL,158500.0,3,475500.0,1013.0,1차 익절 +5.0%,12722.0,2.76,5
2026-07-01,034730,SK,sepa,SELL,763000.0,1,763000.0,1626.0,본전보호 청산,-18735.0,-2.4,2
2026-07-02,105560,KB금융,rsi2,SELL,165000.0,12,1980000.0,4218.0,"트레일링 (고점 173,800 대비 -4.5%)",128722.0,6.97,6
2026-07-03,000660,SK하이닉스,rsi2,BUY,2197000.0,1,2197000.0,309.0,진입 (점수 70),0.0,0.0,0
2026-07-03,005930,삼성전자,rsi2,BUY,288500.0,8,2308000.0,324.0,진입 (점수 68),0.0,0.0,0
2026-07-03,028260,삼성물산,rsi2,BUY,405500.0,6,2433000.0,342.0,진입 (점수 68),0.0,0.0,0
2026-07-03,032830,삼성생명,rsi2,BUY,368500.0,5,1842500.0,259.0,진입 (점수 68),0.0,0.0,0
2026-07-03,000660,SK하이닉스,rsi2,SELL,2425000.0,1,2425000.0,5167.0,1차 익절 +5.0%,222525.0,10.13,1
2026-07-03,005930,삼성전자,rsi2,SELL,309500.0,1,309500.0,659.0,1차 익절 +5.0%,20300.0,7.04,1
2026-07-03,028260,삼성물산,rsi2,SELL,433500.0,1,433500.0,924.0,1차 익절 +5.0%,27019.0,6.66,1
2026-07-03,032830,삼성생명,rsi2,SELL,383000.0,1,383000.0,816.0,1차 익절 +5.0%,13632.0,3.7,1
2026-07-06,055550,신한지주,sepa,BUY,107300.0,23,2467900.0,347.0,진입 (점수 65),0.0,0.0,0
2026-07-07,005930,삼성전자,rsi2,SELL,296000.0,7,2072000.0,4414.0,"트레일링 (고점 325,000 대비 -4.5%)",47802.0,2.37,3
2026-07-07,028260,삼성물산,rsi2,SELL,424500.0,5,2122500.0,4522.0,"트레일링 (고점 460,000 대비 -4.5%)",90193.0,4.45,3
2026-07-07,032830,삼성생명,rsi2,SELL,375000.0,4,1500000.0,3196.0,"트레일링 (고점 398,500 대비 -4.5%)",22597.0,1.53,3
2026-07-08,105560,KB금융,sepa,BUY,176200.0,13,2290600.0,322.0,진입 (점수 60),0.0,0.0,0
2026-07-08,086790,하나금융지주,sepa,BUY,127000.0,19,2413000.0,339.0,진입 (점수 60),0.0,0.0,0
