날짜,자산
2026-06-04,10000000.0
2026-06-05,10001062.594673
2026-06-08,9627738.02790346
2026-06-09,9722038.02790346
2026-06-10,9256407.250920014
2026-06-11,9256407.250920014
2026-06-12,9624245.807324614
2026-06-15,10140096.120922133
2026-06-16,10036414.082744135
2026-06-17,9940979.134144135
2026-06-18,9889979.134144135
2026-06-19,9906922.668921635
2026-06-22,9641379.217882035
2026-06-23,9408189.167297516
2026-06-24,9408189.167297516
2026-06-25,9415230.143572016
2026-06-26,9119589.248078376
2026-06-29,9185589.248078376
2026-06-30,9371093.166440375
2026-07-01,9289954.508750875
2026-07-02,9363736.065290874
2026-07-03,9991436.666590374
2026-07-06,10181789.860007074
2026-07-07,9837357.574005574
2026-07-08,9649896.591208374
2026-07-09,9545105.700318374
2026-07-10,10078244.281629574
2026-07-13,10144388.911462175
2026-07-14,9927533.185253175
2026-07-15,10040233.185253175
2026-07-16,9944767.739569474
2026-07-20,9581724.383928016
2026-07-21,9581724.383928016
2026-07-22,9581724.383928016
2026-07-23,9581724.383928016
2026-07-24,9581724.383928016
2026-07-27,9547189.227033015
2026-07-28,9385914.424689615
2026-07-29,9385914.424689615
2026-07-30,9230196.269758115
2026-07-31,9230196.269758115
