날짜,종목코드,종목명,전략,구분,가격,수량,금액,수수료,사유,손익,손익률,보유일
2026-02-13,066570,066570,sepa,BUY,117900.0,21,2475900.0,348.0,진입 (점수 68),0.0,0.0,0
2026-02-13,068270,068270,sepa,BUY,242000.0,10,2420000.0,340.0,진입 (점수 64),0.0,0.0,0
2026-02-13,105560,105560,sepa,BUY,166800.0,14,2335200.0,328.0,진입 (점수 64),0.0,0.0,0
2026-02-13,055550,055550,sepa,BUY,105200.0,21,2209200.0,310.0,진입 (점수 64),0.0,0.0,0
2026-02-20,066570,066570,sepa,SELL,123600.0,6,741600.0,1580.0,1차 익절 +5.0%,32521.0,4.6,3
2026-02-23,005935,005935,sepa,BUY,137100.0,5,685500.0,96.0,진입 (점수 64),0.0,0.0,0
2026-02-23,066570,066570,sepa,SELL,132600.0,7,928200.0,1978.0,2차 익절 +15.0%,100806.0,12.21,4
2026-02-23,066570,066570,sepa,SELL,132600.0,8,1060800.0,2260.0,"트레일링 (고점 139,500 대비 -3.0%)",115207.0,12.21,4
2026-02-24,066570,066570,sepa,BUY,134700.0,15,2020500.0,284.0,진입 (점수 74),0.0,0.0,0
2026-02-24,105560,105560,sepa,SELL,166700.0,14,2333800.0,4972.0,횡보 청산 (5일),-6700.0,-0.29,5
2026-02-24,055550,055550,sepa,SELL,98888.0,21,2076648.0,4424.0,손절 -6.0%,-137287.0,-6.21,5
2026-02-25,068270,068270,sepa,SELL,244500.0,10,2445000.0,5209.0,횡보 청산 (6일),19451.0,0.8,6
2026-02-26,000270,000270,sepa,BUY,197400.0,13,2566200.0,361.0,진입 (점수 74),0.0,0.0,0
2026-02-26,051910,051910,sepa,BUY,387500.0,6,2325000.0,327.0,진입 (점수 70),0.0,0.0,0
2026-02-26,032830,032830,sepa,BUY,239000.0,8,1912000.0,269.0,진입 (점수 65),0.0,0.0,0
2026-02-26,005935,005935,sepa,SELL,148700.0,1,148700.0,317.0,1차 익절 +5.0%,11264.0,8.21,4
2026-02-26,066570,066570,sepa,SELL,146700.0,4,586800.0,1250.0,1차 익절 +5.0%,46674.0,8.66,3
2026-02-26,000270,000270,sepa,SELL,206000.0,3,618000.0,1317.0,1차 익절 +5.0%,24400.0,4.12,1
2026-02-27,005935,005935,sepa,SELL,143800.0,4,575200.0,1225.0,"트레일링 (고점 150,000 대비 -3.0%)",25497.0,4.65,5
2026-02-27,066570,066570,sepa,SELL,145700.0,11,1602700.0,3415.0,"트레일링 (고점 151,900 대비 -3.0%)",117377.0,7.92,4
2026-02-27,000270,000270,sepa,SELL,205500.0,10,2055000.0,4378.0,"트레일링 (고점 212,500 대비 -3.0%)",76344.0,3.87,2
2026-02-27,051910,051910,sepa,SELL,417500.0,1,417500.0,889.0,1차 익절 +5.0%,29056.0,7.5,2
2026-03-03,012330,012330,sepa,BUY,512000.0,4,2048000.0,288.0,진입 (점수 74),0.0,0.0,0
2026-03-03,105560,105560,rsi2,BUY,157500.0,15,2362500.0,332.0,진입 (점수 72),0.0,0.0,0
2026-03-03,051910,051910,sepa,SELL,364250.0,5,1821250.0,3880.0,손절 -6.0%,-120402.0,-6.21,3
2026-03-03,032830,032830,sepa,SELL,224660.0,8,1797280.0,3829.0,손절 -6.0%,-118818.0,-6.21,3
2026-03-03,012330,012330,sepa,SELL,481280.0,4,1925120.0,4102.0,손절 -6.0%,-127269.0,-6.21,1
2026-03-04,105560,105560,rsi2,SELL,148050.0,15,2220750.0,4731.0,손절 -6.0%,-146813.0,-6.21,2
2026-03-06,357780,357780,sepa,BUY,490500.0,5,2452500.0,345.0,진입 (점수 60),0.0,0.0,0
2026-03-09,357780,357780,sepa,SELL,461070.0,5,2305350.0,4912.0,손절 -6.0%,-152406.0,-6.21,2
2026-03-11,263750,263750,sepa,BUY,65100.0,37,2408700.0,338.0,진입 (점수 68),0.0,0.0,0
2026-03-11,263750,263750,sepa,SELL,61194.0,37,2264178.0,4824.0,손절 -6.0%,-149684.0,-6.21,1
2026-03-13,263750,263750,sepa,BUY,63200.0,38,2401600.0,337.0,진입 (점수 60),0.0,0.0,0
2026-03-13,263750,263750,sepa,SELL,65800.0,11,723800.0,1542.0,1차 익절 +5.0%,26960.0,3.88,1
2026-03-13,263750,263750,sepa,SELL,65800.0,27,1776600.0,3785.0,백테스트 종료 청산,66175.0,3.88,1
