year,symbol,bm,per,roe,debt,profit2y,rev_yoy,op_yoy,fwd
2021,000080,0.48478506019554957,25.58036619574741,8.063879234726663,206.97670904267952,False,10.87233533880001,124.9136384719987,6.910322024516158
2021,000100,0.4381526269751798,22.1336503557355,10.31149261288979,29.62465513954045,True,9.424214261061437,572.1180286182635,-1.2077979268969252
2021,000120,1.0072976312108033,28.12075932231029,3.5303287048868106,138.70388078098327,True,3.514303475228342,5.908861296757828,-29.916903218467215
2021,000150,10.297777707255047,,-9.702290749432654,290.6545265052639,False,-7.403813682142202,-51.950490415359226,111.23539226975323
2021,000210,1.9693903792769298,2.847459822344929,17.832432266270118,332.9012016474329,True,-83.8542672777017,-89.46575042992859,-25.886170886743177
2021,000240,2.5625372791524383,9.371910993225853,4.163913054127917,8.340312153939376,True,-3.1462077835733515,-8.398803149515356,-17.275215699432998
2021,000270,1.1750770491450835,17.10023479854389,4.976586789792154,102.3655384683734,True,1.7578814032459311,2.825176147446351,-7.866728896378838
2021,000500,0.6784645571493758,40.86748385786811,3.6065747274901145,105.81909909897887,True,3.27014593221584,77.71416726021808,-10.852706388916333
2021,000640,1.4417165226004864,3.7966667800979046,18.269120570275767,70.03107384028837,True,1.7708603736274142,-4.189892932794126,6.040925752745796
2021,000660,0.533403883539293,20.449346986488457,9.16778421323723,37.11248531254551,True,18.190261820603393,84.78234744636191,-16.21887814660896
2021,000670,3.9124923386324735,11.116518337991026,2.299205084141429,34.71638143195142,True,3.2196834348741765,-44.685662138465176,18.950849877134736
2021,000720,1.9404217043697558,19.841146363524636,2.5973897087257702,104.63724014638657,True,-1.782144261010843,-36.14131983663442,10.429255641593848
2021,000880,9.3442208297671,2.674680604948481,4.001151335820798,932.9945030036422,True,1.0196935876826574,40.53665352837348,1.7377627553452069
2021,000990,0.3452178521472854,13.863465776050418,20.89464222484592,48.32672655028478,True,15.915374015008199,32.01626832708682,28.015386716774394
2021,001040,6.392616144827556,11.805622284207367,1.3250506780441647,159.96607788184872,True,-5.271223150806481,-7.872908712163129,-7.19469794424763
2021,001060,0.35054927692866444,,-7.362847951286026,164.6615420789749,False,7.040460936962467,,-4.7390143932675155
2021,001120,1.9992294012933254,2.4322139504459312,20.56532583580356,206.87863726961643,False,7.13878528478511,18.586006868610404,22.069576291844385
2021,001430,3.296124458762556,,-14.324181198956692,91.42181344163795,False,-14.351488466093098,-107.57487377507611,5.068197903351224
2021,001440,0.19335560429073054,693.0081651662381,0.7462852946785272,233.5229374135862,False,2.707962007442588,70.50187236336055,77.4146338351174
2021,001530,1.7802998768450946,12.068447590320753,4.654311322171069,70.81758478332388,True,-27.65685380315588,-45.707961997901336,55.01664337505006
2021,001570,0.2874234004376776,,-4.965636351665464,175.5247959466174,False,1.9950615574721775,-34.78663440467149,6.105990783410142
2021,001680,1.5070702736618953,5.7547995133173,11.530185600420628,129.52525656396193,True,5.034366828010395,34.340345984704456,-6.312840513902751
2021,001740,2.4467599813097634,21.821085613519358,1.87297628326467,290.75746576105115,False,-18.601879542585397,13.32790842263103,-14.650530188652056
2021,001800,5.177045287293809,3.0889748149904706,6.2532194276115325,28.69597386773603,True,8.409242329287725,15.738843017455029,1.2831624396586694
2021,001820,0.2614914495836144,28.49575043774557,13.42030570200766,34.4035166953575,True,-4.723610989172733,-27.310318354514184,-18.66902993008783
2021,002350,2.3011030890823148,,-1.0728393968837948,128.9068813221321,False,-16.03146224895352,-80.98791255004096,-13.594691883633903
2021,002380,3.025645682418693,3.091329128446067,10.691451869316714,135.3714085503308,False,86.9281812310079,0.47742967418178406,46.84338770510603
2021,002790,1.3192910411314263,215.6281510879311,0.3515231470503714,24.181927253310867,True,-21.548647981970916,-69.76194609788958,-28.260851811017197
2021,002840,0.31532951591289726,16.366081249199013,19.377184437386937,22.939695433988998,True,17.99770226709454,32.93052157397298,-10.618889582347968
2021,002960,0.44463962161323056,10.502480558481498,21.4141062845599,51.461486336131976,True,-5.433298462177949,20.689128146446656,6.985379502472844
2021,003090,0.606949426095693,15.545051193414235,10.598766839308423,64.51816364455134,True,,-8.822830458886454,-5.549140866751268
2021,003160,0.7561109346662963,31.348743777105096,4.218852472868743,67.69921211432857,True,48.12701328070388,,17.554442469202257
2021,003230,0.5389038589603335,9.48029334105533,19.573429725799553,60.16805257339621,True,19.302672656635387,21.782803579895436,10.543533205567801
2021,003240,3.3253504766767814,6.529939102251051,4.605252470546342,20.032151212832986,True,-40.35002468857108,-81.62787263441096,12.535995069514371
2021,003300,6.206223417613267,2.707942473383886,5.950221874753486,82.08505091428567,True,-7.169866134798342,87.81635856252299,5.648437844269161
2021,003490,0.3748115595194436,,-6.945585653422369,660.6328366958645,False,-40.030120298504265,-57.697377332911984,14.70588738027121
2021,003550,1.6649418566617697,8.132720469714664,7.385247988019916,16.398688671697677,True,0.8638033719630345,66.2182720794299,-21.284690088349567
2021,003570,3.109073673788246,23.03653905036235,1.3962132471822153,39.48716642136977,True,-19.556941019224183,-29.217598598519167,14.649107182991905
