날짜,종목코드,종목명,전략,구분,가격,수량,금액,수수료,사유,손익,손익률,보유일
2025-09-16,357780,솔브레인,sepa,BUY,263000.0,9,2367000.0,333.0,진입 (점수 74),0.0,0.0,0
2025-09-16,028260,삼성물산,sepa,BUY,194700.0,12,2336400.0,328.0,진입 (점수 72),0.0,0.0,0
2025-09-16,034730,SK,sepa,BUY,234500.0,10,2345000.0,330.0,진입 (점수 72),0.0,0.0,0
2025-09-16,267250,HD현대,sepa,BUY,162700.0,15,2440500.0,343.0,진입 (점수 72),0.0,0.0,0
2025-09-18,357780,솔브레인,sepa,SELL,281500.0,2,563000.0,1199.0,1차 익절 +5.0%,35727.0,6.79,3
2025-09-18,357780,솔브레인,sepa,SELL,281500.0,7,1970500.0,4198.0,"트레일링 (고점 295,000 대비 -3.0%)",125043.0,6.79,3
2025-09-19,039030,이오테크닉스,sepa,BUY,243500.0,10,2435000.0,342.0,진입 (점수 74),0.0,0.0,0
2025-09-22,028260,삼성물산,sepa,SELL,197700.0,12,2372400.0,5054.0,횡보 청산 (5일),30617.0,1.31,5
2025-09-23,000990,DB하이텍,sepa,BUY,59800.0,41,2451800.0,345.0,진입 (점수 74),0.0,0.0,0
2025-09-23,034730,SK,sepa,SELL,220430.0,10,2204300.0,4696.0,손절 -6.0%,-145726.0,-6.21,6
2025-09-23,000990,DB하이텍,sepa,SELL,56212.0,41,2304692.0,4910.0,손절 -6.0%,-152363.0,-6.21,1
2025-09-24,267250,HD현대,sepa,SELL,154600.0,15,2319000.0,4941.0,추세 무효화 (7일 신고가 없음),-126784.0,-5.19,7
2025-09-26,006260,LS,rsi2,BUY,167100.0,14,2339400.0,329.0,진입 (점수 76),0.0,0.0,0
2025-09-26,352820,하이브,rsi2,BUY,273000.0,8,2184000.0,307.0,진입 (점수 72),0.0,0.0,0
2025-09-26,138040,메리츠금융지주,rsi2,BUY,114200.0,20,2284000.0,321.0,진입 (점수 72),0.0,0.0,0
2025-09-26,039030,이오테크닉스,sepa,SELL,228890.0,10,2288900.0,4877.0,손절 -6.0%,-151319.0,-6.21,6
2025-09-30,035420,NAVER,sepa,BUY,279000.0,8,2232000.0,314.0,진입 (점수 68),0.0,0.0,0
2025-10-01,035420,NAVER,sepa,SELL,262260.0,8,2098080.0,4470.0,손절 -6.0%,-138704.0,-6.21,2
2025-10-02,138040,메리츠금융지주,rsi2,SELL,113400.0,20,2268000.0,4832.0,횡보 청산 (5일),-21153.0,-0.93,5
2025-10-10,352820,하이브,rsi2,SELL,272500.0,8,2180000.0,4645.0,횡보 청산 (6일),-8951.0,-0.41,6
2025-10-14,316140,우리금융지주,rsi2,BUY,24900.0,96,2390400.0,336.0,진입 (점수 76),0.0,0.0,0
2025-10-14,001440,대한전선,sepa,BUY,18650.0,128,2387200.0,335.0,진입 (점수 72),0.0,0.0,0
2025-10-14,021240,코웨이,rsi2,BUY,91300.0,20,1826000.0,257.0,진입 (점수 70),0.0,0.0,0
2025-10-14,006260,LS,rsi2,SELL,175900.0,4,703600.0,1499.0,1차 익절 +5.0%,33607.0,5.03,8
2025-10-14,006260,LS,rsi2,SELL,175900.0,10,1759000.0,3748.0,"트레일링 (고점 181,500 대비 -3.0%)",84018.0,5.03,8
2025-10-14,001440,대한전선,sepa,SELL,17531.0,128,2243968.0,4781.0,손절 -6.0%,-148348.0,-6.21,1
2025-10-16,131970,두산테스나,sepa,BUY,52300.0,45,2353500.0,331.0,진입 (점수 74),0.0,0.0,0
2025-10-16,041190,우리기술투자,rsi2,BUY,10020.0,236,2364720.0,332.0,진입 (점수 68),0.0,0.0,0
2025-10-17,041190,우리기술투자,rsi2,SELL,9418.8,236,2222836.8,4736.0,손절 -6.0%,-146951.0,-6.21,2
2025-10-20,131970,두산테스나,sepa,SELL,49162.0,45,2212290.0,4713.0,손절 -6.0%,-146254.0,-6.21,3
2025-10-21,316140,우리금융지주,rsi2,SELL,26200.0,28,733600.0,1563.0,1차 익절 +5.0%,34739.0,4.98,6
2025-10-22,329180,HD현대중공업,sepa,BUY,582000.0,3,1746000.0,245.0,진입 (점수 74),0.0,0.0,0
2025-10-22,015760,한국전력,sepa,BUY,43800.0,53,2321400.0,326.0,진입 (점수 72),0.0,0.0,0
2025-10-22,010140,삼성중공업,sepa,BUY,24300.0,45,1093500.0,154.0,진입 (점수 72),0.0,0.0,0
2025-10-23,316140,우리금융지주,rsi2,SELL,25600.0,68,1740800.0,3709.0,"트레일링 (고점 26,600 대비 -3.0%)",43653.0,2.58,8
2025-10-23,021240,코웨이,rsi2,SELL,92300.0,20,1846000.0,3933.0,횡보 청산 (8일),15810.0,0.87,8
2025-10-24,357780,솔브레인,rsi2,BUY,278500.0,8,2228000.0,313.0,진입 (점수 72),0.0,0.0,0
2025-10-24,028050,삼성E&A,sepa,BUY,30550.0,44,1344200.0,189.0,진입 (점수 72),0.0,0.0,0
2025-10-27,329180,HD현대중공업,sepa,SELL,624000.0,1,624000.0,1329.0,1차 익절 +5.0%,40589.0,6.97,4
2025-10-27,010140,삼성중공업,sepa,SELL,29100.0,13,378300.0,806.0,1차 익절 +5.0%,61550.0,19.48,4
2025-10-27,028050,삼성E&A,sepa,SELL,28717.0,44,1263548.0,2692.0,손절 -6.0%,-83533.0,-6.21,2
2025-10-28,329180,HD현대중공업,sepa,SELL,594000.0,2,1188000.0,2531.0,"트레일링 (고점 640,000 대비 -3.0%)",21305.0,1.83,5
2025-10-28,015760,한국전력,sepa,SELL,44000.0,53,2332000.0,4968.0,횡보 청산 (5일),5305.0,0.23,5
2025-10-28,010140,삼성중공업,sepa,SELL,29950.0,16,479200.0,1021.0,2차 익절 +15.0%,89324.0,22.97,5
